,CPI_US
2017-05-25,244.004
2017-05-26,244.004
2017-05-29,244.004
2017-05-30,244.004
2017-05-31,244.004
2017-06-01,244.163
2017-06-02,244.163
2017-06-05,244.163
2017-06-06,244.163
2017-06-07,244.163
2017-06-08,244.163
2017-06-09,244.163
2017-06-12,244.163
2017-06-13,244.163
2017-06-14,244.163
2017-06-15,244.163
2017-06-16,244.163
2017-06-19,244.163
2017-06-20,244.163
2017-06-21,244.163
2017-06-22,244.163
2017-06-23,244.163
2017-06-26,244.163
2017-06-27,244.163
2017-06-28,244.163
2017-06-29,244.163
2017-06-30,244.163
2017-07-03,244.243
2017-07-04,244.243
2017-07-05,244.243
2017-07-06,244.243
2017-07-07,244.243
2017-07-10,244.243
2017-07-11,244.243
2017-07-12,244.243
2017-07-13,244.243
2017-07-14,244.243
2017-07-17,244.243
2017-07-18,244.243
2017-07-19,244.243
2017-07-20,244.243
2017-07-21,244.243
2017-07-24,244.243
2017-07-25,244.243
2017-07-26,244.243
2017-07-27,244.243
2017-07-28,244.243
2017-07-31,244.243
2017-08-01,245.183
2017-08-02,245.183
2017-08-03,245.183
2017-08-04,245.183
2017-08-07,245.183
2017-08-08,245.183
2017-08-09,245.183
2017-08-10,245.183
2017-08-11,245.183
2017-08-14,245.183
2017-08-15,245.183
2017-08-16,245.183
2017-08-17,245.183
2017-08-18,245.183
2017-08-21,245.183
2017-08-22,245.183
2017-08-23,245.183
2017-08-24,245.183
2017-08-25,245.183
2017-08-28,245.183
2017-08-29,245.183
2017-08-30,245.183
2017-08-31,245.183
2017-09-01,246.435
2017-09-04,246.435
2017-09-05,246.435
2017-09-06,246.435
2017-09-07,246.435
2017-09-08,246.435
2017-09-11,246.435
2017-09-12,246.435
2017-09-13,246.435
2017-09-14,246.435
2017-09-15,246.435
2017-09-18,246.435
2017-09-19,246.435
2017-09-20,246.435
2017-09-21,246.435
2017-09-22,246.435
2017-09-25,246.435
2017-09-26,246.435
2017-09-27,246.435
2017-09-28,246.435
2017-09-29,246.435
2017-10-02,246.626
2017-10-03,246.626
2017-10-04,246.626
2017-10-05,246.626
2017-10-06,246.626
2017-10-09,246.626
2017-10-10,246.626
2017-10-11,246.626
2017-10-12,246.626
2017-10-13,246.626
2017-10-16,246.626
2017-10-17,246.626
2017-10-18,246.626
2017-10-19,246.626
2017-10-20,246.626
2017-10-23,246.626
2017-10-24,246.626
2017-10-25,246.626
2017-10-26,246.626
2017-10-27,246.626
2017-10-30,246.626
2017-10-31,246.626
2017-11-01,247.284
2017-11-02,247.284
2017-11-03,247.284
2017-11-06,247.284
2017-11-07,247.284
2017-11-08,247.284
2017-11-09,247.284
2017-11-10,247.284
2017-11-13,247.284
2017-11-14,247.284
2017-11-15,247.284
2017-11-16,247.284
2017-11-17,247.284
2017-11-20,247.284
2017-11-21,247.284
2017-11-22,247.284
2017-11-23,247.284
2017-11-24,247.284
2017-11-27,247.284
2017-11-28,247.284
2017-11-29,247.284
2017-11-30,247.284
2017-12-01,247.805
2017-12-04,247.805
2017-12-05,247.805
2017-12-06,247.805
2017-12-07,247.805
2017-12-08,247.805
2017-12-11,247.805
2017-12-12,247.805
2017-12-13,247.805
2017-12-14,247.805
2017-12-15,247.805
2017-12-18,247.805
2017-12-19,247.805
2017-12-20,247.805
2017-12-21,247.805
2017-12-22,247.805
2017-12-25,247.805
2017-12-26,247.805
2017-12-27,247.805
2017-12-28,247.805
2017-12-29,247.805
2018-01-01,248.859
2018-01-02,248.859
2018-01-03,248.859
2018-01-04,248.859
2018-01-05,248.859
2018-01-08,248.859
2018-01-09,248.859
2018-01-10,248.859
2018-01-11,248.859
2018-01-12,248.859
2018-01-15,248.859
2018-01-16,248.859
2018-01-17,248.859
2018-01-18,248.859
2018-01-19,248.859
2018-01-22,248.859
2018-01-23,248.859
2018-01-24,248.859
2018-01-25,248.859
2018-01-26,248.859
2018-01-29,248.859
2018-01-30,248.859
2018-01-31,248.859
2018-02-01,249.529
2018-02-02,249.529
2018-02-05,249.529
2018-02-06,249.529
2018-02-07,249.529
2018-02-08,249.529
2018-02-09,249.529
2018-02-12,249.529
2018-02-13,249.529
2018-02-14,249.529
2018-02-15,249.529
2018-02-16,249.529
2018-02-19,249.529
2018-02-20,249.529
2018-02-21,249.529
2018-02-22,249.529
2018-02-23,249.529
2018-02-26,249.529
2018-02-27,249.529
2018-02-28,249.529
2018-03-01,249.577
2018-03-02,249.577
2018-03-05,249.577
2018-03-06,249.577
2018-03-07,249.577
2018-03-08,249.577
2018-03-09,249.577
2018-03-12,249.577
2018-03-13,249.577
2018-03-14,249.577
2018-03-15,249.577
2018-03-16,249.577
2018-03-19,249.577
2018-03-20,249.577
2018-03-21,249.577
2018-03-22,249.577
2018-03-23,249.577
2018-03-26,249.577
2018-03-27,249.577
2018-03-28,249.577
2018-03-29,249.577
2018-03-30,249.577
2018-04-02,250.227
2018-04-03,250.227
2018-04-04,250.227
2018-04-05,250.227
2018-04-06,250.227
2018-04-09,250.227
2018-04-10,250.227
2018-04-11,250.227
2018-04-12,250.227
2018-04-13,250.227
2018-04-16,250.227
2018-04-17,250.227
2018-04-18,250.227
2018-04-19,250.227
2018-04-20,250.227
2018-04-23,250.227
2018-04-24,250.227
2018-04-25,250.227
2018-04-26,250.227
2018-04-27,250.227
2018-04-30,250.227
2018-05-01,250.792
2018-05-02,250.792
2018-05-03,250.792
2018-05-04,250.792
2018-05-07,250.792
2018-05-08,250.792
2018-05-09,250.792
2018-05-10,250.792
2018-05-11,250.792
2018-05-14,250.792
2018-05-15,250.792
2018-05-16,250.792
2018-05-17,250.792
2018-05-18,250.792
2018-05-21,250.792
2018-05-22,250.792
2018-05-23,250.792
2018-05-24,250.792
2018-05-25,250.792
2018-05-28,250.792
2018-05-29,250.792
2018-05-30,250.792
2018-05-31,250.792
2018-06-01,251.018
2018-06-04,251.018
2018-06-05,251.018
2018-06-06,251.018
2018-06-07,251.018
2018-06-08,251.018
2018-06-11,251.018
2018-06-12,251.018
2018-06-13,251.018
2018-06-14,251.018
2018-06-15,251.018
2018-06-18,251.018
2018-06-19,251.018
2018-06-20,251.018
2018-06-21,251.018
2018-06-22,251.018
2018-06-25,251.018
2018-06-26,251.018
2018-06-27,251.018
2018-06-28,251.018
2018-06-29,251.018
2018-07-02,251.214
2018-07-03,251.214
2018-07-04,251.214
2018-07-05,251.214
2018-07-06,251.214
2018-07-09,251.214
2018-07-10,251.214
2018-07-11,251.214
2018-07-12,251.214
2018-07-13,251.214
2018-07-16,251.214
2018-07-17,251.214
2018-07-18,251.214
2018-07-19,251.214
2018-07-20,251.214
2018-07-23,251.214
2018-07-24,251.214
2018-07-25,251.214
2018-07-26,251.214
2018-07-27,251.214
2018-07-30,251.214
2018-07-31,251.214
2018-08-01,251.663
2018-08-02,251.663
2018-08-03,251.663
2018-08-06,251.663
2018-08-07,251.663
2018-08-08,251.663
2018-08-09,251.663
2018-08-10,251.663
2018-08-13,251.663
2018-08-14,251.663
2018-08-15,251.663
2018-08-16,251.663
2018-08-17,251.663
2018-08-20,251.663
2018-08-21,251.663
2018-08-22,251.663
2018-08-23,251.663
2018-08-24,251.663
2018-08-27,251.663
2018-08-28,251.663
2018-08-29,251.663
2018-08-30,251.663
2018-08-31,251.663
2018-09-03,252.182
2018-09-04,252.182
2018-09-05,252.182
2018-09-06,252.182
2018-09-07,252.182
2018-09-10,252.182
2018-09-11,252.182
2018-09-12,252.182
2018-09-13,252.182
2018-09-14,252.182
2018-09-17,252.182
2018-09-18,252.182
2018-09-19,252.182
2018-09-20,252.182
2018-09-21,252.182
2018-09-24,252.182
2018-09-25,252.182
2018-09-26,252.182
2018-09-27,252.182
2018-09-28,252.182
2018-10-01,252.772
2018-10-02,252.772
2018-10-03,252.772
2018-10-04,252.772
2018-10-05,252.772
2018-10-08,252.772
2018-10-09,252.772
2018-10-10,252.772
2018-10-11,252.772
2018-10-12,252.772
2018-10-15,252.772
2018-10-16,252.772
2018-10-17,252.772
2018-10-18,252.772
2018-10-19,252.772
2018-10-22,252.772
2018-10-23,252.772
2018-10-24,252.772
2018-10-25,252.772
2018-10-26,252.772
2018-10-29,252.772
2018-10-30,252.772
2018-10-31,252.772
2018-11-01,252.594
2018-11-02,252.594
2018-11-05,252.594
2018-11-06,252.594
2018-11-07,252.594
2018-11-08,252.594
2018-11-09,252.594
2018-11-12,252.594
2018-11-13,252.594
2018-11-14,252.594
2018-11-15,252.594
2018-11-16,252.594
2018-11-19,252.594
2018-11-20,252.594
2018-11-21,252.594
2018-11-22,252.594
2018-11-23,252.594
2018-11-26,252.594
2018-11-27,252.594
2018-11-28,252.594
2018-11-29,252.594
2018-11-30,252.594
2018-12-03,252.767
2018-12-04,252.767
2018-12-05,252.767
2018-12-06,252.767
2018-12-07,252.767
2018-12-10,252.767
2018-12-11,252.767
2018-12-12,252.767
2018-12-13,252.767
2018-12-14,252.767
2018-12-17,252.767
2018-12-18,252.767
2018-12-19,252.767
2018-12-20,252.767
2018-12-21,252.767
2018-12-24,252.767
2018-12-25,252.767
2018-12-26,252.767
2018-12-27,252.767
2018-12-28,252.767
2018-12-31,252.767
2019-01-01,252.561
2019-01-02,252.561
2019-01-03,252.561
2019-01-04,252.561
2019-01-07,252.561
2019-01-08,252.561
2019-01-09,252.561
2019-01-10,252.561
2019-01-11,252.561
2019-01-14,252.561
2019-01-15,252.561
2019-01-16,252.561
2019-01-17,252.561
2019-01-18,252.561
2019-01-21,252.561
2019-01-22,252.561
2019-01-23,252.561
2019-01-24,252.561
2019-01-25,252.561
2019-01-28,252.561
2019-01-29,252.561
2019-01-30,252.561
2019-01-31,252.561
2019-02-01,253.319
2019-02-04,253.319
2019-02-05,253.319
2019-02-06,253.319
2019-02-07,253.319
2019-02-08,253.319
2019-02-11,253.319
2019-02-12,253.319
2019-02-13,253.319
2019-02-14,253.319
2019-02-15,253.319
2019-02-18,253.319
2019-02-19,253.319
2019-02-20,253.319
2019-02-21,253.319
2019-02-22,253.319
2019-02-25,253.319
2019-02-26,253.319
2019-02-27,253.319
2019-02-28,253.319
2019-03-01,254.277
2019-03-04,254.277
2019-03-05,254.277
2019-03-06,254.277
2019-03-07,254.277
2019-03-08,254.277
2019-03-11,254.277
2019-03-12,254.277
2019-03-13,254.277
2019-03-14,254.277
2019-03-15,254.277
2019-03-18,254.277
2019-03-19,254.277
2019-03-20,254.277
2019-03-21,254.277
2019-03-22,254.277
2019-03-25,254.277
2019-03-26,254.277
2019-03-27,254.277
2019-03-28,254.277
2019-03-29,254.277
2019-04-01,255.233
2019-04-02,255.233
2019-04-03,255.233
2019-04-04,255.233
2019-04-05,255.233
2019-04-08,255.233
2019-04-09,255.233
2019-04-10,255.233
2019-04-11,255.233
2019-04-12,255.233
2019-04-15,255.233
2019-04-16,255.233
2019-04-17,255.233
2019-04-18,255.233
2019-04-19,255.233
2019-04-22,255.233
2019-04-23,255.233
2019-04-24,255.233
2019-04-25,255.233
2019-04-26,255.233
2019-04-29,255.233
2019-04-30,255.233
2019-05-01,255.296
2019-05-02,255.296
2019-05-03,255.296
2019-05-06,255.296
2019-05-07,255.296
2019-05-08,255.296
2019-05-09,255.296
2019-05-10,255.296
2019-05-13,255.296
2019-05-14,255.296
2019-05-15,255.296
2019-05-16,255.296
2019-05-17,255.296
2019-05-20,255.296
2019-05-21,255.296
2019-05-22,255.296
2019-05-23,255.296
2019-05-24,255.296
2019-05-27,255.296
2019-05-28,255.296
2019-05-29,255.296
2019-05-30,255.296
2019-05-31,255.296
2019-06-03,255.213
2019-06-04,255.213
2019-06-05,255.213
2019-06-06,255.213
2019-06-07,255.213
2019-06-10,255.213
2019-06-11,255.213
2019-06-12,255.213
2019-06-13,255.213
2019-06-14,255.213
2019-06-17,255.213
2019-06-18,255.213
2019-06-19,255.213
2019-06-20,255.213
2019-06-21,255.213
2019-06-24,255.213
2019-06-25,255.213
2019-06-26,255.213
2019-06-27,255.213
2019-06-28,255.213
2019-07-01,255.802
2019-07-02,255.802
2019-07-03,255.802
2019-07-04,255.802
2019-07-05,255.802
2019-07-08,255.802
2019-07-09,255.802
2019-07-10,255.802
2019-07-11,255.802
2019-07-12,255.802
2019-07-15,255.802
2019-07-16,255.802
2019-07-17,255.802
2019-07-18,255.802
2019-07-19,255.802
2019-07-22,255.802
2019-07-23,255.802
2019-07-24,255.802
2019-07-25,255.802
2019-07-26,255.802
2019-07-29,255.802
2019-07-30,255.802
2019-07-31,255.802
2019-08-01,256.036
2019-08-02,256.036
2019-08-05,256.036
2019-08-06,256.036
2019-08-07,256.036
2019-08-08,256.036
2019-08-09,256.036
2019-08-12,256.036
2019-08-13,256.036
2019-08-14,256.036
2019-08-15,256.036
2019-08-16,256.036
2019-08-19,256.036
2019-08-20,256.036
2019-08-21,256.036
2019-08-22,256.036
2019-08-23,256.036
2019-08-26,256.036
2019-08-27,256.036
2019-08-28,256.036
2019-08-29,256.036
2019-08-30,256.036
2019-09-02,256.43
2019-09-03,256.43
2019-09-04,256.43
2019-09-05,256.43
2019-09-06,256.43
2019-09-09,256.43
2019-09-10,256.43
2019-09-11,256.43
2019-09-12,256.43
2019-09-13,256.43
2019-09-16,256.43
2019-09-17,256.43
2019-09-18,256.43
2019-09-19,256.43
2019-09-20,256.43
2019-09-23,256.43
